axis,colinears
large-small,small little tiny&big huge large
strong-weak,strong solid robust&weak flimsy frail
busy-idle,busy moving hard-working&idle useless lazy
scary-soothing,scary alarming intimidating&soothing calming welcoming
blind-sighted,blind sightless eyeless&sighted observant seeing
nocturnal-diurnal,nocturnal nightly night-time&diurnal daily day-time
fierce-nonviolent,fierce ferocious savage&nonviolent passive peaceful
angry-calm,angry raging mad&calm passive sober
free-caged,free unrestrained liberty&caged restrained slavery
graceful-awkward,graceful elegant flowing&awkward clumsy stiff
wild-tame,wild exotic rare&tame domestic common
independent-dependent,independent individualistic free-spirited&dependent collectivist fettered
lazy-fast,lazy lazy lazy&fast speedy quick
hard-soft,hard matted unyielding&soft fluffy yielding
fat-thin,fat overweight plump&thin underweight skinny
smart-stupid,dumb stupid idiotic&smart intelligent wise
loyal-disloyal,loyal faithful devoted&disloyal unfaithful treacherous
friendly-unfriendly,friendly affectionate social&unfriendly malignant antisocial
playful-boring,playful whimsical frisky&boring apathetic serious
loud-quiet,loud deafening noisy&quiet silent soft
beautiful-ugly,cute pretty beautiful&ugly unappealing hideous
heavy-light,skinny light thin&heavy fat thick
furry-hairless,scaly hairless bumpy&furry hairy wooly
wet-dry,wet water oceanic&dry land terrestrial
smelly-fragrant,smelly stinky noxious&fragrant perfumed aromatic
sly-artless,sly witty cunning&artless witless naive
slimy-dry,slimy slippery greasy&dry rough
jumpy-relaxed,jumpy nervous&relaxed calm confident
funny-humorless,funny silly fun&humorless serious serious
hungry-full,hungry ravenous famished&full satisfied satiated
mean-nice,mean evil vicious&nice good gentle
annoying-agreeable,annoying irritating vexing&agreeable enjoyable likable
fast-slow,fast quick rapid&slow unhurried leisurely
bouncy-inelastic,bouncy elastic undulating&inelastic fluid flat
cold-hot,cold cool frigid&hot warm tropical
dirty-clean,dirty grimy filthy&clean pristine polished
dangerous-safe,dangerous deadly threatening&safe harmless calm
striped-monochrome,striped banded lined&monochrome plain blank
majestic-inferior,majestic great awesome&inferior menial humble
terminal-unfinished,deadly eventual fatal final incurable terminal&curable initial short-term temporary unfinished
tribal-universal,ancestral clannish communal exotic indigenous savage tribal&individual lone settled singular universal
philosophical-unreasonable,composed ideological metaphysical philosophic philosophical thoughtful&dumb irrational mindless rational unreasonable
provident-wasteful,cautious frugal provident serendipitous thrifty&careless improvident spendthrift wasteful
excitable-unflappable,enthusiastic excitable high-strung neurotic restless wild&apathetic calm depressing impassive stable tame unaffected unemotional unflappable
unfavorable-preferred,adverse disadvantageous negative unfavorable unlikable unsuited&favorable preferred
unstructured-structured,dysfunctional free random unorganized unstructured&organized rigid structured
disciplinary-unstructured,corrective disciplinary punitive&disadvantageous exculpatory free harmful permissive undisciplined unstructured
deaf-sensory,deaf earless insensate&auditory emotional loud mindful sensitive sensory
unrefined-regal,coarse crude raw rough unrefined unskilled&cultured debonair processed pure refined regal
mystical-visible,divine ethereal magical mystical occult unworldly&exoteric factual mundane normal photographic predictable real realistic transparent visible
geologic-mystical,earthen erosive geologic mineral&astronomic atmospheric bible biologic climatic dull ethereal mystical
immortal-transient,eternal everlasting godlike immortal&dead life-threatening living mortal transient
arboreal-urban,arboreal treelike&arid barren metropolitan urban
able-unable,able capable competent&incapable unable
unlawful-legal,chaotic criminal illegal unlawful unruly&lawful legal
indispensable-unnecessary,crucial essential indispensable invaluable necessary obligatory vital&dispensable incidental unnecessary
photographic-vague,detailed photo photographic realistic visual&abstract aloof blurry fuzzy general imprecise murky tangible ugly unclear vague
pneumatic-stuffy,air inflated mechanical pneumatic pulmonary windy&airless calculated clear ground shapeless solid stuffy
inconsolable-ecstatic,desolate despondent devastated distraught inconsolable overwrought weeping&calm ecstatic
symbolic-useless,metaphorical representative significant surrogate symbolic&actual apparent literal straightforward useless
historic-unimportant,historic important landmark momentous old&current futuristic insignificant modern recent uneventful unimportant
endemic-rare,contagious endemic indicative inherent regional&epidemic foreign global rare
intentional-unintentional,deliberate intentional planned purposeful&accidental arbitrary unintentional
funded-unfunded,funded paid subsidized&bankrupt broken impoverished unfunded
uneven-symmetrical,askew bumpy disadvantageous odd rough tilted unbalanced unequal uneven&even level proportionate smooth symmetrical
invalid-valid,erroneous false inappropriate incorrect infirm invalid unacceptable&able-bodied true valid
symphonic-unmusical,harmonic musical symphonic&discordant dissonant harsh inharmonious unmusical
concise-wordy,compact concise efficient exact terse&confusing lengthy redundant wordy
psychiatric-sane,disturbed mental psychiatric psychological unbalanced&balanced normal physical sane
digestive-unhealthy,abdominal bodily digestive&fibrous unhealthy
superficial-unaffected,empty glib silly superficial trivial&deep genuine profound unaffected
representative-unrepresentative,demonstrative representative symbolic&alone atypical unrepresentative
mortal-immortal,life-threatening living mortal transient&deceased eternal everlasting godlike immortal
disadvantageous-instructive,disadvantageous harmful hurtful ordinary uneven unfavorable&advantageous good helpful instructive
pathological-sane,constant diseased ill minded neurotic pathological uncontrollable&disadvantageous flighty harmful mental modal proper psychiatric psychological sane
pulmonary-systemic,pneumatic pulmonary&mental modal psychiatric psychological systemic
sensory-unfeeling,auditory conducive neural perceptible sensory tactile&distasteful dull numb sensorial unfeeling
humble-proud,humble submissive unselfish&arrogant boastful proud
determined-undetermined,determined focused positive resolute staunch&humble irresolute lazy negligent submissive undecided undetermined
prime-unique,main prime&inferior minor second-rate unique
manual-visual,manual standard&automated automatic mechanical photographic pneumatic visual
normative-irregular,normative prescriptive regular standard standardized stereotypical&descriptive irregular
neural-muscular,audible electrical neural receptive sensory&confident muscular
thankful-ungrateful,appreciative grateful thankful&ingrate thankless ungrateful
proportionate-uneven,commensurate equivalent proportionate sizeable symmetrical&disproportionate irregular psychiatric unbalanced uneven
dimensional-static,dimensional massive proportional spatial spherical&flat one-sided static
untypical-usual,abnormal nonstandard untypical&common modal typical usual
oceanic-shallow,aquatic marine nautical oceanic&earthy fiery mountainous shallow
emotional-unemotional,emotional feeling illogical labile sensitive thrilling&calm cerebral deadpan reserved stoic unemotional
gross-tasty,disgusting gross total&appealing civic clean minor net polite tasty
progressive-unprogressive,innovative liberal progressive&backward regressive stable stagnant unaffected
conjunct-separate,conjoint conjunct mutual united&disjunct esoteric partial separate
vital-useless,critical essential healthy indispensable lively vital&non-essential unimportant unnecessary useless
unnoticed-seen,hidden unnoticed&noticed seen
morphological-unchanging,anatomical changing morphological structural&biblical spiritual unchanging
knowledgeable-unknowledgeable,informed intelligent knowledgeable well-informed well-read&dumb ignorant naive uninformed unintelligent
vague-specific,aloof fuzzy general imprecise murky unclear vague&clear concise exact explicit forward instructive photographic specific
civic-uncharitable,civic civil local polite public social&external personal private uncharitable
poetic-prosaic,aesthetic fitting imaginative lyrical poetic rhythmic&literal prosaic
climatic-uneventful,atmospheric climatic exciting top weather&boring expected probable superficial trivial uneventful
thrifty-wasteful,cheap frugal provident resourceful thrifty&extravagant spendthrift wasteful
probable-unlikely,expected likely plausible possible probable&impossible improbable unlikely
instructive-vague,helpful instructive&aloof confusing destructive fuzzy general imprecise misleading murky unclear unhelpful useless vague
partial-whole,fractional incomplete partial separate small&complete full whole
modal-still,mental modal typical&exceptional still
unaffected-cynical,genuine homey natural stable unaffected unscathed untouched&affected cynical
linguistic-unspoken,lingual linguistic polyglot verbal&mute silent uncommunicative unspoken
cyclonic-placid,centrifugal cyclonic rapid&calm placid
fiscal-unable,financial fiscal monetary&monthly personal unable
recoverable-unrecoverable,extractable recoverable rectifiable reparable&lost unrecoverable
weightless-weighted,airy floating weightless&dimensional heavy massive weighted
chemical-unaffected,chemical scientific solute synthetic&natural organic physical pure sweet unaffected
double-indivisible,double dual extra twice twin twinned&half indivisible
biblical-secular,antiquated biblical cataclysmic religious scriptural spiritual&chemical scientific secular
unclean-pristine,dirty impure unclean&clean pristine
free-captive,free unrestrained liberty&captive imprisoned confined
wise-foolish,wise sage sapient&foolish scatterbrained silly
scaly-smooth,scaly rough flaky&smooth sleek silky
smelly-odorless,smelly stinky noxious&odorless unscented scentless
stealthy-overt,stealthy sneaky covert&overt obvious conspicuous
speedy-sluggish,fast speedy quick&slow sluggish gradual
powerful-puny,strong powerful muscular&weak feeble puny
strong-weak2,strong sturdy robust&weak flimsy frail
fast-slow2,fast quick speedy&slow sluggish gradual
